source_row_number,accounting_date,planned_total_amount,restaurant,banquet_own,banquet_cb,aggregator,pickup,delivery,Ресторан.1,Доставка.1,Ресторан.2,Доставка.2,Банкет
19,2026-02-17 00:00:00,697976.349281151,458547.37695598963,52442.43561150355,25081.16485767561,93261.41578877863,20593.186820161056,48050.769247042466,3570.0,2500.0,2000.0,2500.0,5100.0
20,2026-02-18 00:00:00,691465.682002985,454270.08388479764,51953.256787787264,24847.209768072167,92391.48079926678,20401.09522891837,47602.555534142855,3570.0,2500.0,2000.0,2500.0,5100.0
21,2026-02-19 00:00:00,682687.3538692353,448503.01263097127,51293.69732219082,24531.768284526042,91218.54806185361,20142.098270908016,46998.22929878537,3570.0,2500.0,2000.0,2500.0,5100.0
22,2026-02-20 00:00:00,851332.6113913337,559297.3691338386,63964.85454391722,30591.8869557865,113752.399672689,25117.830325530707,58608.27075957165,3570.0,2500.0,2000.0,2500.0,5100.0
23,2026-02-21 00:00:00,1464806.630663174,962329.5100616363,110058.20969574715,52636.535071879065,195722.8785375513,43217.84918890806,100841.64810745216,4760.0,2500.0,2200.0,2500.0,5100.0
24,2026-02-22 00:00:00,1390601.5265790992,913579.2109010088,104482.81104938628,49970.04006709778,185807.82472124082,41028.49195210961,95733.14788825576,4760.0,2500.0,2200.0,2500.0,5100.0
25,2026-02-23 00:00:00,1081880.6793245438,710759.8247341227,81287.07788342719,38876.428552943435,144557.5111137327,31919.951112095285,74479.88592822234,4760.0,2500.0,2200.0,2500.0,5100.0
26,2026-02-24 00:00:00,713118.9983365148,468495.5965649398,53580.17817096331,25625.302603504188,95284.72917346611,21039.95754709243,49093.234276549,3570.0,2500.0,2000.0,2500.0,5100.0
27,2026-02-25 00:00:00,669445.8864632351,439803.80648691935,50298.79999858357,24055.947825409534,89449.26462026368,19751.42025961771,46086.64727244132,3570.0,2500.0,2000.0,2500.0,5100.0
28,2026-02-26 00:00:00,806080.6384063954,529568.3195239236,60564.84868125409,28965.79719538239,107705.97263808051,23782.71011032648,55492.99025742845,3570.0,2500.0,2000.0,2500.0,5100.0
29,2026-02-27 00:00:00,1056850.4514793216,694315.7928770862,79406.43233796391,37976.98937902622,141213.0503898625,31181.455948614865,72756.73054676801,3570.0,2500.0,2000.0,2500.0,5100.0
30,2026-02-28 00:00:00,1158160.6275139684,760873.2278496058,87018.36988994385,41617.48125171227,154749.7991071112,34170.52482467861,79731.22459091675,4760.0,2500.0,2200.0,2500.0,5100.0
31,Итого,26019839.599999998,17094174.05,1955000.0,935000.0000000001,3476689.550000001,767692.7999999999,1791283.2000000007,,,,,
